Média (°C) 	Máxima (°C)	Mínima (°C)	PDD (°C)	FTD (dias)	Dias >0°C	Dias >10°C	FTD (°C)
-4.9	12.1	-29.6	174.9	105	184	5	-621.4
-6.3	12.0	-29.6	162.5	118	164	7	-163.1
-6.7	12.2	-29.0	140.5	82	152	3	-260.9
-6.2	13.7	-29.0	168.6	86	129	9	-367.4
-6.6	13.0	-32.3	72.7	122	161	3	-889.7
-5.0	17.0	-28.4	198.8	123	188	9	-687.8
-4.7	14.3	-25.6	175.5	108	182	4	-598.6
-3.4	14.8	-27.3	268.9	101	222	8	-672.5
-5.2	18.0	-29.0	274.3	76	173	9	-560.0
-8.2	12.6	-27.1	149.0	82	111	2	-496.3
-5.0	14.1	-25.4	176.7	124	194	8	-749.3
-3.8	13.6	-29.0	248.7	117	216	4	-752.4
-4.5	12.9	-23.7	204.9	109	198	5	-638.5
-3.7	15.1	-25.0	235.3	125	214	10	-652.9
-3.9	14.6	-25.9	258.5	117	216	12	-740.8
-6.1	11.3	-29.6	125.7	102	173	2	-647.2
-5.5	13.9	-31.1	206.3	130	202	3	-704.4
-5.2	12.6	-26.6	159.3	120	181	3	-711.1
-3.1	14.0	-27.0	231.2	152	262	6	-960.6
-5.1	12.5	-25.6	173.4	106	168	7	-710.0
-5.6	11.6	-29.8	176.2	100	168	4	-640.8
-5.4	14.6	-26.4	237.9	91	191	13	-657.9
-4.3	14.3	-25.2	261.2	120	214	3	-779.7
-5.6	13.1	-31.8	258.4	109	119	3	-692.5
-5.0	7.4	-27.3	320.1	89	204	6	-595.9
-4.0	11.3	-32.6	294.4	116	226	5	-758.8
-5.5	14.4	-30.4	235.7	104	184	8	-654.5
-3.5	15.5	-27.1	396.1	108	229	22	-591.0
-2.9	15.9	-25.0	474.0	91	231	5	-578.6
-3.2	12.8	-23.9	272.3	111	229	4	-478.3
-3.8	11.3	-23.9	204.7	100	241	2	-476.4
-5.3	10.3	-28.4	254.9	77	182	2	-450.0
-4.2	12.7	-25.7	215.0	105	206	4	-637.3
-3.5	14.6	-26.5	271.5	123	221	12	-690.4
-4.4	13.5	-28.4	201.5	136	221	9	-899.0
-3.3	12.7	-26.1	320.6	194	262	17	-592.9
-6.8	14.0	-29.4	198.9	110	186	7	-818.5
-3.6	13.4	-25.8	347.7	137	238	9	-826
-5.7	12.0	-31.5	204.5	130	200	6	-904.6
-3.8	13.5	-25.3	211.7	146	246	6	-915.2
-5.5	11.0	-27.5	287.5	94	197	6	-574.4
-4.9	17.6	-25.5	178.3	115	189	9	-815.2
-4.8	13.1	-26.0	222.5	125	223	11	-767.3
-4.7	12.6	-27.7	162.9	174	224	5	-1173.4
-4.4	17.5	-26.2	311.1	129	217	14	-925.0
-2.5	13.0	-24.1	374.9	125	249	10	-802.5
-5.3	12.0	-28.2					
-4.6	10.7	-29.1	577.1	95	163	1	-624.3
-6.7	13.0	-25.2					

