Média (°C) 	Máxima (°C)	Mínima (°C)	PDD (°C)	FTD (dias)	Dias >0°C	Dias >10°C	FTD (°C)
-0.4	-1.0	-2.7	-637	-12	-237	-2	75
-1.8	-1.1	-2.7	-649	1	-237	0	534
-2.2	-0.9	-2.1	-671	-35	-236	-4	436
-1.7	0.6	-2.1	-643	-31	-236	2	329
-2.1	-0.1	-5.4	-739	5	-239	-4	-193
-0.5	3.9	-1.5	-613	6	-235	2	9
-0.2	1.2	1.3	-636	-9	-233	-3	98
1.1	1.7	-0.4	-543	-16	-234	1	24
-0.7	4.9	-2.1	-537	-41	-236	2	137
-3.7	-0.5	-0.2	-662	-35	-234	-5	201
-0.5	1.0	1.5	-635	7	-232	1	-53
0.7	0.5	-2.1	-563	0	-236	-3	-56
0.0	-0.2	3.2	-607	-8	-231	-2	58
0.8	2.0	1.9	-576	8	-232	3	44
0.7	1.5	1.0	-553	0	-233	5	-44
-1.6	-1.8	-2.7	-686	-15	-237	-5	50
-1.0	0.8	-4.2	-605	13	-238	-4	-8
-0.7	-0.5	0.3	-652	3	-234	-4	-14
1.4	0.9	-0.1	-580	35	-234	-1	-264
-0.6	-0.6	1.3	-638	-11	-233	0	-13
-1.1	-1.5	-2.9	-635	-17	-237	-3	56
-0.9	1.5	0.5	-574	-26	-233	6	39
0.2	1.2	1.7	-550	3	-232	-4	-83
-1.1	0.0	-4.9	-553	-8	-239	-4	4
-0.5	-5.7	-0.4	-491	-28	-234	-1	101
0.5	-1.8	-5.7	-517	-1	-240	-2	-62
-1.0	1.3	-3.5	-576	-13	-237	1	42
1.1	2.4	-0.2	-415	-9	-234	15	106
1.6	2.8	1.9	-337	-26	-232	-2	118
1.3	-0.3	3.0	-539	-6	-231	-3	219
0.7	-1.8	3.0	-607	-17	-231	-5	220
-0.8	-2.8	-1.5	-557	-40	-235	-5	247
0.4	-0.4	1.2	-596	-12	-233	-3	60
1.0	1.5	0.4	-540	6	-234	5	6
0.1	0.4	-1.5	-610	19	-235	2	-202
1.2	-0.4	0.8	-491	77	-233	10	104
-2.3	0.9	-2.5	-613	-7	-236	0	-122
0.9	0.3	1.1	-464	20	-233	2	-129
-1.2	-1.1	-4.6	-607	13	-239	-1	-208
0.7	0.4	1.6	-600	29	-232	-1	-218
-1.0	-2.1	-0.6	-524	-23	-235	-1	122
-0.4	4.5	1.4	-633	-2	-233	2	-118
-0.3	0.0	0.9	-589	8	-233	4	-71
-0.2	-0.5	-0.8	-649	57	-235	-2	-477
0.1	4.4	0.7	-500	12	-233	7	-228
2.0	-0.1	2.8	-437	8	-231	3	-106
-0.8	-1.1	-1.3	-811	-117	-235	-7	697
-0.1	-2.4	-2.2	-234	-22	-236	-6	73
-2.2	-0.1	1.7	-811	-117	-232	-7	697

